time,power
15:50:27,   166.510
15:50:30,   181.120
15:50:33,   204.490
15:50:36,   219.100
15:50:40,   210.330
15:50:43,   201.570
15:50:46,   181.120
15:50:49,   169.430
15:50:52,   166.510
15:50:55,   175.280
15:50:58,   239.540
15:51:01,   353.470
15:51:04,   506.840
15:51:07,   663.130
15:51:10,   742.010
15:51:13,   763.910
15:51:16,   763.910
15:51:19,   763.910
15:51:23,   759.530
15:51:26,   775.600
15:51:29,   759.530
15:51:32,   753.690
15:51:35,   775.600
15:51:38,   752.230
15:51:41,   746.390
15:51:44,   753.690
15:51:47,   755.150
15:51:50,   743.470
15:51:53,   744.930
15:51:56,   750.770
15:51:59,   756.610
15:52:02,   749.310
15:52:06,   753.690
15:52:09,   750.770
15:52:12,   768.300
15:52:15,   749.310
15:52:18,   746.390
15:52:21,   752.230
15:52:24,   749.310
15:52:27,   762.450
15:52:30,   752.230
15:52:33,   747.850
15:52:36,   753.690
15:52:39,   760.990
15:52:42,   749.310
15:52:45,   746.390
15:52:49,   766.840
15:52:52,   747.850
15:52:55,   742.010
15:52:58,   746.390
15:53:01,   739.080
15:53:04,   742.010
15:53:07,   736.160
15:53:10,   734.700
15:53:13,   736.160
15:53:16,   737.620
15:53:19,   733.240
15:53:22,   753.690
15:53:25,   728.860
15:53:29,   731.780
15:53:32,   724.480
15:53:35,   744.930
15:53:38,   731.780
15:53:41,   731.780
15:53:44,   737.620
15:53:47,   737.620
15:53:50,   739.080
15:53:53,   743.470
15:53:56,   742.010
15:53:59,   746.390
15:54:02,   740.540
15:54:05,   744.930
15:54:08,   740.540
15:54:12,   737.620
15:54:15,   742.010
15:54:19,   737.620
15:54:22,   740.540
15:54:25,   736.160
15:54:28,   728.860
15:54:32,   749.310
15:54:35,   740.540
15:54:38,   737.620
15:54:41,   739.080
15:54:44,   733.240
15:54:47,   728.860
15:54:50,   736.160
15:54:53,   728.860
15:54:56,   728.860
15:54:59,   717.170
15:55:02,   730.320
15:55:05,   730.320
15:55:08,   724.480
15:55:11,   721.560
15:55:15,   723.020
15:55:18,   728.860
15:55:21,   731.780
15:55:24,   725.940
15:55:27,   728.860
15:55:30,   728.860
15:55:33,   725.940
15:55:36,   730.320
15:55:39,   728.860
15:55:42,   724.480
15:55:45,   724.480
15:55:48,   728.860
15:55:51,   723.020
15:55:55,   724.480
15:55:58,   723.020
15:56:01,   723.020
15:56:04,   725.940
15:56:07,   721.560
15:56:10,   728.860
15:56:13,   728.860
15:56:16,   714.250
15:56:19,   733.240
15:56:22,   728.860
15:56:25,   734.700
15:56:28,   728.860
15:56:31,   728.860
15:56:34,   740.540
15:56:38,   731.780
15:56:41,   733.240
15:56:44,   746.390
15:56:47,   733.240
15:56:50,   736.160
15:56:53,   728.860
15:56:56,   721.560
15:56:59,   711.330
