time,power
6:00:00,     2.920
6:00:03,     0.000
6:00:06,     2.920
6:00:09,     1.460
6:00:12,     1.460
6:00:15,     0.000
6:00:18,     1.460
6:00:21,     1.460
6:00:24,     1.460
6:00:27,     5.840
6:00:30,     2.920
6:00:34,     5.840
6:00:37,     2.920
6:00:40,     5.840
6:00:43,     2.920
6:00:46,     5.840
6:00:49,     5.840
6:00:52,     2.920
6:00:55,     5.840
6:00:58,     1.460
6:01:01,     5.840
6:01:04,     2.920
6:01:07,     4.380
6:01:10,     1.460
6:01:13,     2.920
6:01:16,     2.920
6:01:19,     2.920
6:01:22,     5.840
6:01:25,     2.920
6:01:28,     5.840
6:01:31,     2.920
6:01:35,     1.460
6:01:38,     5.840
6:01:41,     0.000
6:01:44,     5.840
6:01:47,     5.840
6:01:50,     5.840
6:01:53,     5.840
6:01:56,     5.840
6:01:59,     1.460
6:02:02,     4.380
6:02:05,     1.460
6:02:08,     2.920
6:02:11,     5.840
6:02:14,     5.840
6:02:17,     0.000
6:02:20,     2.920
6:02:23,     5.840
6:02:26,     2.920
6:02:29,     5.840
6:02:33,     2.920
6:02:36,     2.920
6:02:39,     5.840
6:02:42,     5.840
6:02:45,     2.920
6:02:48,     5.840
6:02:51,     2.920
6:02:54,     5.840
6:02:57,     2.920
6:03:00,     5.840
6:03:03,     5.840
6:03:06,     2.920
6:03:09,     2.920
6:03:12,     2.920
6:03:15,     5.840
6:03:18,     2.920
6:03:21,     2.920
6:03:24,     5.840
6:03:27,     5.840
6:03:31,     5.840
6:03:34,     5.840
6:03:37,     5.840
6:03:40,     5.840
6:03:43,     2.920
6:03:46,     2.920
6:03:49,     5.840
6:03:52,     4.380
6:03:55,     4.380
6:03:58,     2.920
6:04:01,     5.840
6:04:04,     5.840
6:04:07,     5.840
6:04:10,     5.840
6:04:13,     2.920
6:04:16,     5.840
6:04:19,     4.380
6:04:22,     5.840
6:04:25,     5.840
6:04:28,     5.840
6:04:32,     4.380
6:04:35,     5.840
6:04:38,     2.920
6:04:41,     5.840
6:04:44,     5.840
6:04:47,     5.840
6:04:50,     1.460
6:04:53,     5.840
6:04:56,     5.840
6:04:59,     2.920
6:05:02,     5.840
6:05:05,     5.840
6:05:08,     2.920
6:05:11,     5.840
6:05:14,     2.920
6:05:17,     5.840
6:05:20,     5.840
6:05:23,     5.840
6:05:26,     5.840
6:05:29,     5.840
6:05:32,     8.760
6:05:36,     5.840
6:05:39,     2.920
6:05:42,     5.840
6:05:45,     2.920
6:05:48,     5.840
6:05:51,     2.920
6:05:54,     4.380
6:05:57,     2.920
6:06:00,     5.840
6:06:03,     5.840
6:06:06,     8.760
6:06:09,     1.460
6:06:12,     5.840
6:06:15,     5.840
6:06:18,     5.840
6:06:21,     5.840
6:06:24,     5.840
6:06:27,     2.920
6:06:30,     5.840
6:06:34,     5.840
6:06:37,     5.840
6:06:40,     5.840
6:06:43,     5.840
6:06:46,     2.920
6:06:49,     5.840
6:06:52,     5.840
6:06:55,     5.840
6:06:58,     5.840
6:07:01,     5.840
6:07:04,     5.840
6:07:07,     2.920
6:07:10,     5.840
6:07:13,     7.300
6:07:16,     5.840
6:07:19,    11.690
6:07:22,     5.840
6:07:25,     5.840
6:07:28,    11.690
6:07:31,     1.460
6:07:35,     4.380
6:07:38,     5.840
6:07:41,     4.380
6:07:44,     5.840
6:07:47,     5.840
6:07:50,     7.300
6:07:53,     5.840
6:07:56,     5.840
6:07:59,    11.690
6:08:02,     5.840
6:08:05,    11.690
6:08:08,     5.840
6:08:11,     7.300
6:08:14,     5.840
6:08:17,     5.840
6:08:20,     5.840
6:08:23,     5.840
6:08:26,     5.840
6:08:29,     5.840
6:08:32,     5.840
6:08:36,    11.690
6:08:39,     5.840
6:08:42,    11.690
6:08:45,     5.840
6:08:48,     7.300
6:08:51,     5.840
6:08:54,     7.300
6:08:57,     7.300
6:09:00,     5.840
6:09:03,    11.690
6:09:06,     5.840
6:09:09,     5.840
6:09:12,    11.690
6:09:15,     5.840
6:09:18,     5.840
6:09:21,     5.840
6:09:25,     5.840
6:09:28,     5.840
6:09:31,     5.840
6:09:34,    11.690
6:09:37,     5.840
6:09:40,    11.690
6:09:43,    11.690
6:09:46,     5.840
6:09:49,    11.690
6:09:52,     7.300
6:09:55,     7.300
6:09:58,     7.300
6:10:01,     7.300
6:10:04,    11.690
6:10:07,     5.840
6:10:10,    11.690
6:10:13,     7.300
6:10:16,    11.690
6:10:19,     5.840
6:10:22,    11.690
6:10:26,     7.300
6:10:29,     5.840
6:10:32,    11.690
6:10:35,     7.300
6:10:38,    11.690
6:10:41,     5.840
6:10:44,    11.690
6:10:47,     7.300
6:10:50,     8.760
6:10:53,     5.840
6:10:56,    11.690
6:10:59,     5.840
6:11:02,    11.690
6:11:05,    11.690
6:11:08,    11.690
6:11:11,    11.690
6:11:14,     5.840
6:11:17,    11.690
6:11:20,     8.760
6:11:24,    11.690
6:11:27,    11.690
6:11:30,    11.690
6:11:33,    11.690
6:11:36,     7.300
6:11:39,    11.690
6:11:42,    11.690
6:11:45,    11.690
6:11:48,    11.690
6:11:51,    11.690
6:11:54,    11.690
6:11:57,     7.300
6:12:00,    11.690
6:12:03,    11.690
6:12:06,    11.690
6:12:09,    11.690
6:12:12,    11.690
6:12:15,    11.690
6:12:18,     4.380
6:12:21,    11.690
6:12:25,    11.690
6:12:28,    11.690
6:12:31,    13.150
6:12:34,     8.760
6:12:37,    11.690
6:12:40,    11.690
6:12:43,    11.690
6:12:46,     7.300
6:12:49,    13.150
6:12:52,    11.690
6:12:55,    14.610
