time,power
6:00:00,     0.000
6:00:03,     0.000
6:00:06,     0.000
6:00:10,     0.000
6:00:13,     0.000
6:00:16,     0.000
6:00:19,     0.000
6:00:22,     0.000
6:00:25,     0.000
6:00:28,     0.000
6:00:31,     0.000
6:00:34,     0.000
6:00:37,     0.000
6:00:40,     0.000
6:00:43,     0.000
6:00:46,     0.000
6:00:49,     1.460
6:00:52,     0.000
6:00:55,     0.000
6:00:58,     0.000
6:01:01,     0.000
6:01:04,     2.920
6:01:08,     0.000
6:01:11,     0.000
6:01:14,     0.000
6:01:17,     0.000
6:01:20,     1.460
6:01:23,     2.920
6:01:26,     0.000
6:01:29,     0.000
6:01:32,     0.000
6:01:35,     0.000
6:01:38,     0.000
6:01:41,     2.920
6:01:44,     2.920
6:01:47,     5.840
6:01:50,     0.000
6:01:53,     0.000
6:01:56,     0.000
6:01:59,     1.460
6:02:02,     0.000
6:02:05,     0.000
6:02:09,     1.460
6:02:12,     0.000
6:02:15,     1.460
6:02:18,     1.460
6:02:21,     1.460
6:02:24,     0.000
6:02:27,     0.000
6:02:30,     5.840
6:02:33,     1.460
6:02:36,     0.000
6:02:39,     2.920
6:02:42,     0.000
6:02:45,     0.000
6:02:48,     2.920
6:02:51,     0.000
6:02:54,     5.840
6:02:57,     0.000
6:03:00,     0.000
6:03:03,     0.000
6:03:06,     1.460
6:03:10,     0.000
6:03:13,     0.000
6:03:16,     0.000
6:03:19,     0.000
6:03:22,     0.000
6:03:25,     0.000
6:03:28,     1.460
6:03:31,     1.460
6:03:34,     2.920
6:03:37,     1.460
6:03:40,     2.920
6:03:43,     0.000
6:03:46,     0.000
6:03:49,     0.000
6:03:52,     2.920
6:03:55,     1.460
6:03:58,     2.920
6:04:01,     1.460
6:04:04,     0.000
6:04:07,     0.000
6:04:11,     1.460
6:04:14,     0.000
6:04:17,     0.000
6:04:20,     0.000
6:04:23,     5.840
6:04:26,     0.000
6:04:29,     1.460
6:04:32,     0.000
6:04:35,     5.840
6:04:38,     0.000
6:04:41,     2.920
6:04:44,     0.000
6:04:47,     2.920
6:04:50,     1.460
6:04:53,     0.000
6:04:56,     5.840
6:04:59,     0.000
6:05:02,     0.000
6:05:05,     5.840
6:05:08,     2.920
6:05:12,     5.840
6:05:15,     2.920
6:05:18,     0.000
6:05:21,     1.460
6:05:24,     0.000
6:05:27,     1.460
6:05:30,     1.460
6:05:33,     1.460
6:05:36,     1.460
6:05:39,     2.920
6:05:42,     2.920
6:05:45,     5.840
6:05:48,     0.000
6:05:51,     0.000
6:05:54,     2.920
6:05:57,     2.920
6:06:00,     1.460
6:06:03,     2.920
6:06:06,     2.920
6:06:09,     2.920
6:06:12,     0.000
6:06:16,     2.920
6:06:19,     2.920
